min_cluster_size,n_clusters,n_noise,silhouette
3,2,733,0.05667713229810884
4,2,744,0.0659772342716304
5,0,1885,
6,0,1885,
7,0,1885,
8,0,1885,
9,0,1885,
10,0,1885,
11,0,1885,
12,0,1885,
13,0,1885,
14,0,1885,
15,0,1885,
16,0,1885,
17,0,1885,
18,0,1885,
19,0,1885,
20,0,1885,
21,0,1885,
22,0,1885,
23,0,1885,
24,0,1885,
25,0,1885,
26,0,1885,
27,0,1885,
28,0,1885,
29,0,1885,
30,0,1885,
31,0,1885,
32,0,1885,
33,0,1885,
34,0,1885,
35,0,1885,
36,0,1885,
37,0,1885,
38,0,1885,
39,0,1885,
40,0,1885,
41,0,1885,
42,0,1885,
43,0,1885,
44,0,1885,
45,0,1885,
46,0,1885,
47,0,1885,
48,0,1885,
49,0,1885,
50,0,1885,
