min_cluster_size,n_clusters,n_noise,silhouette
3,55,1041,0.2482429203002859
4,36,1140,0.23860864161829348
5,2,567,0.05311606174513841
6,2,910,0.05583688081145187
7,2,962,0.06135687710956149
8,8,1357,0.21031305225928124
9,5,1363,0.1500251433305251
10,3,1416,0.22817713398684486
11,0,1490,
12,0,1490,
13,0,1490,
14,0,1490,
15,0,1490,
16,0,1490,
17,0,1490,
18,0,1490,
19,0,1490,
20,0,1490,
21,0,1490,
22,0,1490,
23,0,1490,
24,0,1490,
25,0,1490,
26,0,1490,
27,0,1490,
28,0,1490,
29,0,1490,
30,0,1490,
31,0,1490,
32,0,1490,
33,0,1490,
34,0,1490,
35,0,1490,
36,0,1490,
37,0,1490,
38,0,1490,
39,0,1490,
40,0,1490,
41,0,1490,
42,0,1490,
43,0,1490,
44,0,1490,
45,0,1490,
46,0,1490,
47,0,1490,
48,0,1490,
49,0,1490,
50,0,1490,
