k,inertia,silhouette,nmi,ari,ami,n_components
2,419.04555853333216,0.23969096703132634,0.08749661576559702,0.017254599041233505,0.0848891018311715,5
3,343.44265533734455,0.2403926126953004,0.08083152966802264,0.02137741157668572,0.07618843564207067,5
4,307.04609349735296,0.2036463253180437,0.11744954177422214,0.042746027209343555,0.1112376653931121,5
5,256.60744946213293,0.23505776555125227,0.12956698289930463,0.047114523064443525,0.1216521974092148,5
6,238.5736794737663,0.21094887982973992,0.13407826878567763,0.0509729255048044,0.12464154483231334,5
7,205.02555623115222,0.24199241019324033,0.1358301151190212,0.05150352504281578,0.12454088193686924,5
8,189.8239141421337,0.22910578591530933,0.14448833436157404,0.05478479639218897,0.13183293210409158,5
9,178.2265427678773,0.22909240494013638,0.1430383570776631,0.051682728832541214,0.12886039174423344,5
10,166.32777087982961,0.2352502327630227,0.14358542071122096,0.050683579151635565,0.127944266413195,5
11,159.36800600904888,0.229458974179288,0.14663178464448395,0.05052318360545701,0.12947619109098432,5
12,151.67798752778242,0.22620489987494657,0.15182434339912662,0.051005173845083844,0.13339741173928127,5
13,146.79688488886285,0.2235694903731809,0.1586939577055629,0.0541905280692892,0.13888320529791748,5
14,143.8441289977069,0.2111772508598345,0.15938591696474672,0.052882790043628856,0.13817708601272854,5
15,135.35156695867602,0.21881608001722627,0.16319036374643325,0.05263201035849855,0.14069143964608732,5
16,131.97219231293568,0.2161008848457981,0.16082749215876374,0.049935251505491614,0.1368324765948566,5
17,127.30103553970872,0.21699239625471559,0.16740860468211674,0.054019747016672365,0.14210083830280396,5
18,124.22120511454915,0.21242207782476874,0.1681497920179458,0.051315035817010746,0.14145460026790424,5
19,121.3703526163424,0.20876857481682448,0.16719294122850695,0.04767182893363164,0.1390682132479974,5
20,117.59015019251864,0.2123039525777068,0.16952262546345934,0.04900429543339925,0.14003742223330695,5
21,114.87689284053491,0.21191358430243434,0.17293240214463437,0.0491402540887603,0.1419964146665644,5
22,113.32885922811931,0.2075655241716162,0.17495384343787618,0.048717522538853954,0.1425176147713147,5
23,110.51501872335832,0.20946020783854646,0.17289312100041088,0.04673733809268445,0.13875817331105794,5
24,109.61959115544909,0.19915727565290772,0.1763144301335234,0.04602316956524832,0.14105429073825315,5
25,104.21586761596707,0.21227712034895596,0.180637059707236,0.04588401563975124,0.14405946488358648,5
26,102.58111340264585,0.21006444590844037,0.18372013451965202,0.04481365529436049,0.14565144255585782,5
27,100.7427555520704,0.20697384439812166,0.1843330511088555,0.04688269710399441,0.14493991619650975,5
28,98.15285501302282,0.21310048171151907,0.18997487234220273,0.04747843349412828,0.1493195803793145,5
29,98.19940935468095,0.20606183454036905,0.18642573824142286,0.04433654300292174,0.1441265376958001,5
30,96.42478557393352,0.2061706252537507,0.1876468344259538,0.04532260651411008,0.14414725602438672,5
2,905.7396417025913,0.1204228160287284,0.055657883698501345,0.015415956637504714,0.05302918521210237,20
3,866.8102892778795,0.08630334722925784,0.07155203835324471,0.019695628656701786,0.06686420561335586,20
4,833.0156426872776,0.08184407363540955,0.07858932549470904,0.020485334688730768,0.0719203558543961,20
5,804.1028065167744,0.08913848040012043,0.09559401397491413,0.023623256089621975,0.08709190270658211,20
6,776.3615038082502,0.09725381107837618,0.1278671523874137,0.03145964912397559,0.11791706673704326,20
7,754.1702129550532,0.10828491545855687,0.13407820747283833,0.03165642778221132,0.12239204919714754,20
8,729.297637923106,0.08333000510618396,0.12511422766593938,0.04396925356408089,0.11220451595672118,20
9,712.4136940469476,0.08779919941769768,0.15856670122155656,0.05666001861064897,0.14454705786676111,20
10,698.265340546131,0.08661764121450477,0.16819124319843537,0.06420407890104379,0.15293969414409211,20
11,679.4276096857402,0.0906867861124086,0.17262082689873473,0.06408360697271653,0.15598857717503384,20
12,665.5630568836414,0.09327060379153443,0.18209507994890334,0.06954208287676814,0.1642872415654838,20
13,647.5205163898132,0.10077342847593006,0.1941520039603871,0.07198590707933401,0.17512411772298353,20
14,642.560771147337,0.09896301414983313,0.20044297267099773,0.07380124846956232,0.18012686706685288,20
15,631.9619958842569,0.09796802859806908,0.19731292056019525,0.07122373486547798,0.17550125744553727,20
16,625.530700652785,0.09527941795393065,0.19325051868015466,0.07129804909922771,0.16991951957752993,20
17,622.729040473415,0.0926006024661471,0.19488501459550295,0.07083995733793834,0.17002353794952002,20
18,602.0602817139072,0.09948725164164762,0.2075140510076065,0.07825434329434824,0.18186035962719774,20
19,595.8870767878234,0.09781526482077949,0.20903101884961572,0.0772090359538768,0.18179034831919846,20
20,588.5688467846651,0.09726687935368539,0.206930447331169,0.07493573853603872,0.17834048737542735,20
21,587.6278481749299,0.09068111174875702,0.20295445153151215,0.07333376087897715,0.17306592701498627,20
22,578.9359478282126,0.09118416578597431,0.19789548143274258,0.0708871021887271,0.16628637543767436,20
23,573.1960113068034,0.09204082017466363,0.20410421331201048,0.07006709287296455,0.17135164709116235,20
24,564.9304171062861,0.0986368529959788,0.20257204352778754,0.06700822227652252,0.16817095812112393,20
25,559.801600531956,0.09715293026039659,0.20899849616628122,0.0708749464690449,0.17351789245252836,20
26,555.3148750199653,0.08892948051536,0.21908881057506854,0.07735024204226838,0.18278977753575718,20
27,552.1248564425657,0.08825364943859142,0.21852148733877882,0.0766131246048014,0.18073352668163004,20
28,548.3318746355823,0.08941847295246849,0.22082325118202153,0.0763169698656748,0.18172079821882736,20
29,544.8281217879926,0.09422465591009109,0.21509933656938968,0.07239927821585221,0.17431459455615778,20
30,538.6944948336401,0.0952647005951162,0.21517790469858974,0.06743460733762685,0.17296203877741428,20
2,1174.2584306984172,0.07736655498129942,0.04866069601502313,0.014517430538598048,0.04602536121224106,50
3,1144.0653714575806,0.04388803534828152,0.05209132425481939,0.017241107716793443,0.04733142264978384,50
4,1123.9152260814647,0.033308214580168985,0.07659254253398662,0.027375535022006642,0.07004594196149293,50
5,1103.977604978962,0.03568360324221661,0.12524452842938794,0.04918237852912781,0.11736601273456132,50
6,1087.1101531513623,0.04358242140223125,0.11168072896452416,0.03216475183935257,0.10167745638642332,50
7,1074.2431388915056,0.040715332291905215,0.14391591834020437,0.04708771078258625,0.13275147212730118,50
8,1057.9471815570748,0.026535946796540213,0.122014514278733,0.04570782586031149,0.1091484557966786,50
9,1046.3273377058536,0.029043707266722854,0.11995122863255295,0.04373166423742665,0.10538999605813473,50
10,1037.1479873515925,0.02563733930659306,0.16628554315670419,0.06917728025454366,0.15120539161317603,50
11,1019.1265531151618,0.03919997968885167,0.18688137739491348,0.07134331875865826,0.1706406901598323,50
12,1006.7981189707886,0.03899913535361589,0.20161425255744822,0.07457751208530311,0.1842363301159404,50
13,998.4191062271477,0.0349754551723527,0.18813626431995775,0.06516480783081496,0.1690304092093845,50
14,994.3549211723818,0.03665992948770773,0.20390169023052054,0.07372836217887611,0.18379355079206908,50
15,985.144035432456,0.03412278919076067,0.21081571613177985,0.07846840780226423,0.18946570757066616,50
16,979.3726781791863,0.03616424810865163,0.22086520768780724,0.08019708949265454,0.19818849139927314,50
17,965.788297404048,0.04136415893488559,0.22220849266479725,0.07622780731419225,0.19803685762012385,50
18,960.1683866942988,0.03830680526051919,0.21518055234846975,0.07610245426521599,0.18963299854391777,50
19,951.648030786637,0.04074762382358971,0.22541752936097745,0.07866123144570075,0.1987903478764073,50
20,946.4689880616413,0.04249414138173109,0.22227989084854907,0.07568503220326878,0.19413522492334406,50
21,939.6929348105768,0.042888865635662105,0.21997234286164855,0.07289841649571613,0.19040638313753305,50
22,929.0083566139994,0.04665707559801149,0.21488220015123738,0.06806766407661262,0.18349149282556987,50
23,927.3020784289888,0.03806799672269289,0.20688351248617512,0.06517567332985957,0.17383199701220253,50
24,918.5250594579767,0.04735632947984431,0.22013260162939627,0.07107320249403319,0.18616885843986913,50
25,916.4061583658081,0.044976640738388356,0.2277898535908649,0.07607988228743849,0.19288779884105528,50
26,908.7183277345454,0.04632914409263745,0.23309361521516456,0.07752773516503135,0.1970329483293284,50
27,898.4511140249393,0.04701982897404299,0.226344465220114,0.07144656570007259,0.18841560251511769,50
28,894.3922082569438,0.04822372721202476,0.23108578241123834,0.07374915705219957,0.19210124702530468,50
29,891.1182782497252,0.04852796012784326,0.22980435909285232,0.07457922297806754,0.18943094598705817,50
30,890.2918118536679,0.046338237998160905,0.23610207938674804,0.0751475881898283,0.19466216453832574,50
2,1345.0147009695688,0.05026326929301182,0.04906726118139157,0.015380307580856942,0.04644237322344901,100
3,1323.574488862418,0.022360652741695623,0.05117333259819901,0.01692761660215023,0.046432904632619704,100
4,1308.980068101938,0.013464027275810208,0.08858353903489297,0.03286646694668982,0.08214904557327848,100
5,1295.5891932668756,0.021053437589192914,0.11520120208833211,0.039006015465548806,0.10718373322516483,100
6,1284.7578314615457,0.01226917644149126,0.13653275811972912,0.043214922675008934,0.1269883212460693,100
7,1270.6477176356018,0.013315261484607018,0.1264074765311543,0.043297853536312485,0.11504226849407732,100
8,1258.9705192380604,0.015020904957113614,0.12992527864958772,0.04545355916281734,0.11708838031467252,100
9,1253.0542954225705,0.012676525850066196,0.16916053173710782,0.05933476450270114,0.1551953382348594,100
10,1244.4248172636164,0.005040926671684386,0.16703060935092032,0.05907099786456101,0.15161959120246762,100
11,1238.8535657287762,0.010422525100622176,0.1756820946242108,0.0632094798095706,0.15894626971833403,100
12,1230.9187700469197,0.010247543305602652,0.20674621985489328,0.0729110291222216,0.18908940852619968,100
13,1224.480043574259,0.013954939392365626,0.2044369361385176,0.07520769220676063,0.18520154607463382,100
14,1214.6713953829608,0.014195083800542229,0.20791689108750827,0.07845309021921455,0.18744967526933118,100
15,1208.9325864351151,0.018630512172459448,0.20586863266677394,0.0750860987755513,0.18362701565960224,100
16,1209.0594943161711,0.013810227678092105,0.19984738726844412,0.06842081010140101,0.17574361196281954,100
17,1199.4298798311586,0.020604968358992008,0.2422988397695851,0.08876666524438649,0.2181230598020571,100
18,1195.7546579575087,0.01840986057952906,0.20622928936437018,0.06366834592795753,0.17919825797098532,100
19,1185.1192369809296,0.012192978833354632,0.23249461395394552,0.07751610198600128,0.2056130114118904,100
20,1177.219066798601,0.015668850419628327,0.23064483727077204,0.07898290830525742,0.2022824798968751,100
21,1171.8908138988543,0.028952028874096463,0.2498220083085552,0.07703350530088783,0.22065705193413201,100
22,1166.5594355574171,0.023141034925677897,0.25324275633818805,0.08019947366173863,0.22294202410151506,100
23,1164.0735690621402,0.02180727162960591,0.2600098372957325,0.08571247019221627,0.22868903290804754,100
24,1162.1223727964016,0.020493509370253158,0.2561886636113117,0.08090530293987541,0.22307961060999482,100
25,1158.4449448811206,0.013838464366554528,0.2642581935430336,0.0824129752736496,0.23033544032683467,100
26,1152.4812688308143,0.017582093508168917,0.25996502751929274,0.08232603328248701,0.22454710663433694,100
27,1147.045315845018,0.01979551128619156,0.26526412001386157,0.08003362714924989,0.2285713700555294,100
28,1138.8544936840776,0.02399623096139824,0.2526382495686985,0.0715922824855626,0.21397947140467985,100
29,1127.1611107821968,0.02606583189201036,0.2530584965251321,0.07238203913299786,0.21309465326042118,100
30,1127.2506943991539,0.0224069706112026,0.24865031406972296,0.06801387478607267,0.20733393640376768,100
