k,inertia,silhouette,nmi,ari,ami,variant,vocabulary,n_components
2,1345.0147009695688,0.05026326929301182,0.04906726118139157,0.015380307580856942,0.04644237322344901,default,27379,100
3,1323.574488862418,0.022360652741695623,0.05117333259819901,0.01692761660215023,0.046432904632619704,default,27379,100
4,1308.980068101938,0.013464027275810208,0.08858353903489297,0.03286646694668982,0.08214904557327848,default,27379,100
5,1295.5891932668756,0.021053437589192914,0.11520120208833211,0.039006015465548806,0.10718373322516483,default,27379,100
6,1284.7578314615457,0.01226917644149126,0.13653275811972912,0.043214922675008934,0.1269883212460693,default,27379,100
7,1270.6477176356018,0.013315261484607018,0.1264074765311543,0.043297853536312485,0.11504226849407732,default,27379,100
8,1258.9705192380604,0.015020904957113614,0.12992527864958772,0.04545355916281734,0.11708838031467252,default,27379,100
9,1253.0542954225705,0.012676525850066196,0.16916053173710782,0.05933476450270114,0.1551953382348594,default,27379,100
10,1244.4248172636164,0.005040926671684386,0.16703060935092032,0.05907099786456101,0.15161959120246762,default,27379,100
11,1238.8535657287764,0.010422525100622176,0.1756820946242108,0.0632094798095706,0.15894626971833403,default,27379,100
12,1230.9187700469197,0.010247543305602652,0.20674621985489328,0.0729110291222216,0.18908940852619968,default,27379,100
13,1224.480043574259,0.013954939392365626,0.2044369361385176,0.07520769220676063,0.18520154607463382,default,27379,100
14,1214.6713953829608,0.014195083800542229,0.20791689108750827,0.07845309021921455,0.18744967526933118,default,27379,100
15,1208.9325864351151,0.018630512172459448,0.20586863266677394,0.0750860987755513,0.18362701565960224,default,27379,100
16,1209.0594943161711,0.013810227678092105,0.19984738726844412,0.06842081010140101,0.17574361196281954,default,27379,100
17,1199.4298798311586,0.020604968358992008,0.2422988397695851,0.08876666524438649,0.2181230598020571,default,27379,100
18,1195.7546579575087,0.01840986057952906,0.20622928936437018,0.06366834592795753,0.17919825797098532,default,27379,100
19,1185.1192369809296,0.012192978833354632,0.23249461395394552,0.07751610198600128,0.2056130114118904,default,27379,100
20,1177.219066798601,0.015668850419628327,0.23064483727077204,0.07898290830525742,0.2022824798968751,default,27379,100
21,1171.8908138988543,0.028952028874096463,0.2498220083085552,0.07703350530088783,0.22065705193413201,default,27379,100
22,1166.5594355574171,0.023141034925677897,0.25324275633818805,0.08019947366173863,0.22294202410151506,default,27379,100
23,1164.0735690621402,0.02180727162960591,0.2600098372957325,0.08571247019221627,0.22868903290804754,default,27379,100
24,1162.1223727964016,0.020493509370253158,0.2561886636113117,0.08090530293987541,0.22307961060999482,default,27379,100
25,1158.4449448811206,0.013838464366554528,0.2642581935430336,0.0824129752736496,0.23033544032683467,default,27379,100
26,1152.4812688308143,0.017582093508168917,0.25996502751929274,0.08232603328248701,0.22454710663433694,default,27379,100
27,1147.045315845018,0.01979551128619156,0.26526412001386157,0.08003362714924989,0.2285713700555294,default,27379,100
28,1138.8544936840776,0.02399623096139824,0.2526382495686985,0.0715922824855626,0.21397947140467985,default,27379,100
29,1127.1611107821968,0.02606583189201036,0.2530584965251321,0.07238203913299786,0.21309465326042118,default,27379,100
30,1127.2506943991539,0.0224069706112026,0.24865031406972296,0.06801387478607267,0.20733393640376768,default,27379,100
31,1123.1079712357832,0.02297615211782398,0.2591209788475316,0.07254052343921223,0.21708103668722079,default,27379,100
32,1119.978813374727,0.022827730110560832,0.25911222049245547,0.07285731009093557,0.21577447992453586,default,27379,100
33,1115.8674250312413,0.025244011739901633,0.2692763146834966,0.07512646658839336,0.22509769466562804,default,27379,100
34,1114.8003324850806,0.023503842116011805,0.2773657051475458,0.08114218725126066,0.23259673450877003,default,27379,100
35,1110.1408938584702,0.023628128559621726,0.2745017579465754,0.07852043465971889,0.22827096193825716,default,27379,100
36,1112.8434021587434,0.023557147633509353,0.268342825974518,0.074591105334667,0.22021315210209677,default,27379,100
37,1107.7638174625451,0.023779085731410212,0.2725823022400096,0.07582999088178963,0.22342213037380054,default,27379,100
38,1103.5244468492424,0.02640110196003309,0.2820242893797281,0.07812617635104938,0.23206816393249985,default,27379,100
39,1102.7322522088925,0.027673801149671613,0.27706812120335106,0.07655478699588518,0.22547829228957197,default,27379,100
40,1090.9116546074388,0.030005298837428755,0.2848453223977699,0.08221784731664722,0.23282364496446617,default,27379,100
2,1523.8368091323032,0.007289303324100143,0.039699678869819725,0.0016045851984654827,0.03625011308777121,default,27379,200
3,1475.2321357698238,0.01726996609902559,0.0863625549704841,0.0200361712180286,0.0811778507380242,default,27379,200
4,1461.7659490664369,0.007116227737738617,0.0762321346091432,0.01981765005287696,0.06910535073933724,default,27379,200
5,1456.4266332615136,-0.0034358242573366243,0.09133369687832915,0.020879928877193858,0.08174760835002548,default,27379,200
6,1444.8290795555856,-2.5476484615437543e-05,0.1020594320254865,0.023751846729142757,0.09065335399864878,default,27379,200
7,1442.6236650054043,0.000245677437383718,0.10375849971425352,0.023901048107863185,0.09106348031862756,default,27379,200
8,1430.9450712745324,0.005712535352537875,0.1301891482472123,0.03552856097122293,0.11573712620919512,default,27379,200
