k,inertia,silhouette,nmi,ari,ami,variant,vocabulary,n_components
2,251.76112223777722,0.20291947743717745,0.2669661740971563,0.11283875858844465,0.2659983538715797,default,24746,5
3,175.58442199522412,0.3147269571067333,0.5624804026193228,0.451392012371578,0.5615810779303726,default,24746,5
4,134.87210067430973,0.3588988339420784,0.6516910938811953,0.6110321918703824,0.6507292333065932,default,24746,5
5,85.63244548910406,0.4391003429628185,0.716204067963219,0.744984339019688,0.7152426359701124,default,24746,5
6,70.69362887572291,0.39269475288984157,0.6768931467222714,0.6318509348384096,0.6755910916389903,default,24746,5
7,63.116325043573156,0.3733656185424148,0.6737700994783546,0.622830345771538,0.6722534281858675,default,24746,5
8,58.050317483315624,0.35372973971604105,0.6417535064754446,0.5751641957721791,0.6398737958498087,default,24746,5
9,53.94092416978889,0.335658185042769,0.6424075686038293,0.5588022174296342,0.6403260809327381,default,24746,5
10,47.108100958886084,0.31983459711530143,0.6349872804983249,0.4830217745455693,0.6326818649515694,default,24746,5
11,43.40995099833707,0.3190540311493307,0.6335896574463207,0.45929329245791023,0.6310692787631763,default,24746,5
12,41.75968144577806,0.3134732151769395,0.6246151454018981,0.4504252386142215,0.6218205550083404,default,24746,5
13,39.79600945814453,0.30930567100211026,0.6150207410024554,0.43140864570486753,0.611950541144624,default,24746,5
14,37.777429980319305,0.30222908731977666,0.6047243284705598,0.3937990157152959,0.6013724461542682,default,24746,5
15,36.43935640622987,0.29739770290613926,0.5971123938930545,0.3767084106528454,0.5934774178137869,default,24746,5
16,34.47503906072862,0.2823402376787608,0.588387845815873,0.3468572521556116,0.5844813737383617,default,24746,5
17,33.01958597647225,0.27883403340689455,0.5856654579141767,0.328947853827962,0.5815353878046069,default,24746,5
18,31.772489740350686,0.2770436465150174,0.585611654841341,0.3218430687957148,0.5812601487527244,default,24746,5
19,31.195985453852572,0.26782110606434995,0.5754905498983459,0.3097493984260506,0.5708145164689318,default,24746,5
20,30.23100832880842,0.26225991941189575,0.5667843220992058,0.2934332446526907,0.5617962072689274,default,24746,5
21,29.445770230599024,0.2594860321384012,0.5584926487908008,0.2752670566018915,0.5531943768465818,default,24746,5
22,28.479663887138024,0.26177328535790434,0.5593571355825813,0.2735564892404045,0.5538448891345409,default,24746,5
23,27.95353945767742,0.2553333717150018,0.5541615104357699,0.26179678216774516,0.5483700271979455,default,24746,5
24,27.567790553744256,0.24845108717722006,0.552320947333653,0.2564802433074755,0.5462681336160199,default,24746,5
25,27.076882730737044,0.24702712021874537,0.5504380014269133,0.25239968264540225,0.5441057509228124,default,24746,5
26,26.415946391477984,0.24429802151955723,0.5479718068490129,0.24248400850572127,0.5414033824105757,default,24746,5
27,25.990210663935358,0.2411707913869267,0.5469723592757592,0.23951466615732145,0.5401294670373469,default,24746,5
28,25.64105750875071,0.2293789493673288,0.5359414487597293,0.22196423173890142,0.5287323792168597,default,24746,5
29,25.076652019260198,0.22683281851803339,0.5352729195235054,0.2172156408269472,0.5278365220369632,default,24746,5
30,24.470677792575692,0.22835706392765814,0.5298379941145711,0.2101555500154928,0.5220939275752288,default,24746,5
31,23.905666675353054,0.23024858707205606,0.5354525973555784,0.20925155258413125,0.5275742899725018,default,24746,5
32,23.17744960285883,0.2354438420515074,0.5322980127783191,0.20610663273580404,0.5241336773197328,default,24746,5
33,22.751029920810794,0.23309945251879838,0.5288356053885315,0.1966458386484844,0.5204052913851593,default,24746,5
34,22.35921949917996,0.22870721892973533,0.5252599477311624,0.1876227882236315,0.5165491697962105,default,24746,5
35,21.880266989860388,0.22972677367635014,0.52626937420986,0.18617369259263752,0.5173344517613525,default,24746,5
36,21.426901360220704,0.23227943828899233,0.525222466857442,0.18121566031081116,0.516032624716286,default,24746,5
37,21.22154493548567,0.22949149375674077,0.5225350527926932,0.1764665725663352,0.5130736001330516,default,24746,5
38,21.101082991567594,0.2249654810783867,0.5160155079812833,0.17202596059331218,0.5061841808777854,default,24746,5
39,20.579410708838292,0.22783148922814647,0.5123118965782404,0.16763741891137549,0.5021728488469648,default,24746,5
40,19.7663154906289,0.23208759205929963,0.5145403638732093,0.16374785774041098,0.5042324822852161,default,24746,5
2,398.67424164765407,0.10109455030464393,0.30571472497810054,0.13578011832359888,0.30480549850964733,default,24746,10
3,352.7084843375996,0.13425185897089376,0.5062181885224806,0.3676259822679823,0.5051843619793429,default,24746,10
4,294.29867866031555,0.20629313798314572,0.6559083427832093,0.6063597274112714,0.6549564252752357,default,24746,10
5,247.65048413126593,0.25611925305611116,0.7880754885535358,0.8248538913501672,0.7873590600374566,default,24746,10
6,227.80034471767078,0.2216230467182131,0.6718270592064093,0.6267064518214671,0.6705016735064006,default,24746,10
7,197.96783082202018,0.24895819909706376,0.6344054520397107,0.5500612626539213,0.6327033452929096,default,24746,10
8,179.74216845159555,0.2689073468671498,0.612087836205748,0.5167723875427715,0.6100362284196054,default,24746,10
9,162.9635672534215,0.2797010227126395,0.6366756941499473,0.5408817225935107,0.6345523235421742,default,24746,10
10,147.80972031181153,0.2887639553582381,0.6035102411183374,0.47231790664274026,0.6009761073845592,default,24746,10
11,135.55575771302628,0.29148287336703693,0.5985269868808242,0.41198304127729285,0.5957625363353076,default,24746,10
12,129.60790646555645,0.2840043259138107,0.5933969960020818,0.40460149190715844,0.5903772644401732,default,24746,10
13,124.25931379177486,0.2799711547795874,0.5886588223039064,0.39279810554889943,0.5853678233049083,default,24746,10
14,119.02968382684703,0.2770318217685181,0.5755772151666771,0.37199108050542157,0.5719498470780277,default,24746,10
15,115.79285511477211,0.2703818489207921,0.568410810235318,0.3567040629683221,0.5644973227026446,default,24746,10
16,113.78899998386464,0.2669190567770746,0.5675312603458196,0.34898258940412297,0.5633664120242576,default,24746,10
17,112.32464182143296,0.2575043262588843,0.5654677828050412,0.3452124953194868,0.5610323773229908,default,24746,10
18,107.93200845614129,0.25510004667725533,0.5604002324369104,0.33427339558732816,0.5556974142740467,default,24746,10
19,103.3709382504393,0.249733195959502,0.5593024975414348,0.30972125888341806,0.554400045444154,default,24746,10
20,100.75065622188681,0.2508066724569998,0.5481988774774161,0.30183788787371796,0.5429382195862412,default,24746,10
21,96.92064958762955,0.24905196469616794,0.5521473487482372,0.2974530896126306,0.5466901542808744,default,24746,10
22,95.58279073008285,0.23827945748366045,0.5455176842567226,0.27557226025922466,0.539779868526223,default,24746,10
23,93.4780910366936,0.23235477265130397,0.5411655914658018,0.2595069573822234,0.5351575423428737,default,24746,10
24,92.13100355366451,0.22656966998197803,0.5390173472025547,0.2562781418371355,0.5327426811671514,default,24746,10
25,90.14273722543703,0.225053814465755,0.5331500278136991,0.24342237132680375,0.5265791931440208,default,24746,10
26,89.43478380797345,0.21960406925858153,0.5297012520174924,0.23800305065525168,0.5228379936257004,default,24746,10
27,87.06137491029267,0.22524855845773215,0.5490104437287436,0.2503149074681119,0.5421808502638197,default,24746,10
28,85.41552390317213,0.22314828347231233,0.5374592468832602,0.2415166563376231,0.5302340515584021,default,24746,10
29,83.25833846882806,0.2246875630633693,0.5365580684535025,0.23204866750035566,0.5290777643341225,default,24746,10
30,81.85159770674629,0.22338413720980058,0.5330943216908204,0.22505982579485476,0.5253295723900462,default,24746,10
