k,inertia,silhouette
2,1705.598171222677,0.011442754596437617
3,1700.6974426073587,0.01068597262348292
4,1695.4365920374817,0.005898956137377563
5,1693.4124266991155,0.0028674718034693916
6,1689.9305981379523,0.0010095105534626099
7,1689.2332981504537,-0.0016632182941207798
8,1693.4518084718904,0.006181909150731684
9,1690.3773325300065,0.007193660294915307
10,1689.7077203078593,0.0069026418300049165
11,1686.9770046732413,0.007178242227233449
12,1686.056902476763,0.00723588346145787
13,1682.5641747054287,0.006638001134355156
14,1680.085021502108,0.006186092102305176
15,1678.6418101732527,0.005928881345498266
16,1677.5465378038566,0.005756936057427064
17,1675.7569884104703,0.006207920400316851
18,1674.5253511452152,0.005785199964424764
19,1673.9008999535529,0.004783820826053802
20,1672.6814191920566,0.004797478276222655
21,1706.0626725840173,-0.029955794184997393
22,1705.163902408505,-0.030408268091538296
23,1704.1129527060311,-0.03041078612435225
24,1703.1617406119608,-0.030419094706252703
25,1702.1770083884305,-0.030503185304637005
26,1701.3386089895348,-0.03147755937978715
27,1700.3986407378459,-0.031560399423836365
28,1699.4757025134497,-0.03159171730575499
29,1698.6328843209053,-0.03228892817042642
30,1697.6282059279733,-0.032279960061590625
