k,silhouette
2,0.023911542936773056
3,0.009397003938035147
4,0.006206524479048993
5,0.008928885218939246
6,0.007331133957028444
7,0.015637742660010782
8,0.01666571929162908
9,0.013038962890312754
10,0.012319527613307539
11,0.009414072103313968
12,0.006646011520424181
13,0.011794512858102478
14,0.013488246674161616
15,0.014210218818215017
16,0.01992302253049594
17,0.019247217029303088
18,0.02003895389091973
19,0.019054151193788494
20,0.01826514315726787
21,0.018124437139522036
22,0.018046100833018282
23,0.01732122381729937
24,0.01729528097875145
25,0.017047819916600503
26,0.016799863353232556
27,0.0170326199185429
28,0.01947619753375415
29,0.019365147704936646
30,0.02199512231096983
