k,inertia,silhouette
2,1307.565155635078,0.005073741865717958
3,1296.2865238710979,-0.0018197028973028998
4,1289.2713579898177,-0.0006426298938409212
5,1284.2145602299322,-0.004575157889900984
6,1283.4331107381604,-0.010395189834402813
7,1282.2163538758475,-0.0019809891138340965
8,1272.6014956878407,0.0030684554554800685
9,1262.3273042308617,0.005377231741978639
10,1258.8371377040444,0.005996014030230508
11,1255.4973948261397,0.006379050105508533
12,1250.1687251635055,0.007560332296493604
13,1247.4715618657006,0.006532876724831029
14,1241.9852926699662,0.008449768523663902
15,1238.9340509003357,0.009044422069988223
16,1235.7030136170722,0.009518244023164759
17,1232.638054523332,0.009382675381008256
18,1234.7419323139657,0.008263879603384313
19,1229.8599086363,0.010128932822629463
20,1226.7292881864857,0.009494976704629194
21,1226.4561470428002,0.007245063945937235
22,1232.7656618478197,0.0030404829404055205
23,1233.4673316456024,0.002222836897858828
24,1230.66090421665,0.0029643368042557862
25,1226.2714581532393,0.004410964499798107
26,1221.6982345782408,0.005450883845353481
27,1218.1686674798934,0.006765051166462844
28,1215.93982392564,0.007363809083071986
29,1214.1081026850939,0.004801513288074209
30,1211.132128628046,0.005668521922153264
