dataset,embedding,algorithm,n_components,k_method,k,nmi,ari,ami,silhouette,noise_fraction
BBC,tfidf,kmeans,5,silhouette,5,0.8473207546740554,0.8839717797223643,0.8468053094450558,0.5488524375143493,0.0
BBC,tfidf,kmeans,5,elbow,7,0.7808263132320539,0.755772493607073,0.7798072436855914,0.46702473802429917,0.0
BBC,tfidf,agglomerative,5,silhouette,5,0.8286815421797435,0.8597736330974282,0.8281029479763569,0.7303827693766761,0.0
BBC,tfidf,kmeans,10,silhouette,13,0.6540069466134738,0.44799043048791237,0.651260738552616,0.3431384290777799,0.0
BBC,tfidf,kmeans,10,elbow,13,0.6540069466134738,0.44799043048791237,0.651260738552616,0.3431384290777799,0.0
BBC,tfidf,agglomerative,10,silhouette,8,0.7584239167182963,0.7172465522074474,0.7570893823467933,0.5052667968528871,0.0
BBC,tfidf,kmeans,20,silhouette,22,0.6020608237720341,0.3089090615285302,0.5969934715582677,0.28405651373544355,0.0
BBC,tfidf,kmeans,20,elbow,16,0.6321593445847189,0.39286921229586014,0.6286106042916455,0.2803350096025221,0.0
BBC,tfidf,agglomerative,20,silhouette,20,0.6093118502040406,0.36232770924102803,0.6046331666899497,0.41645517959276573,0.0
BBC,tfidf,kmeans,50,silhouette,38,0.5443794107703802,0.19194055620264208,0.5348988062380085,0.1734787974426775,0.0
BBC,tfidf,kmeans,50,elbow,15,0.6454250207914048,0.39286815010576537,0.6422107759125083,0.13681981569832444,0.0
BBC,tfidf,agglomerative,50,silhouette,39,0.5777193310590523,0.3065742222124671,0.567785896922561,0.24517592007859987,0.0
BBC,tfidf,kmeans,100,silhouette,40,0.5320234347356915,0.18706392290803445,0.5218772780474614,0.1181010088112475,0.0
BBC,tfidf,kmeans,100,elbow,13,0.6646673420822684,0.4554736835337121,0.6619891235583228,0.08362636831541234,0.0
BBC,tfidf,agglomerative,100,silhouette,40,0.5779746618863699,0.3271904447507773,0.5675824359395194,0.16355128040737008,0.0
BBC,tfidf,kmeans,200,silhouette,40,0.534067213365949,0.18677528107491845,0.5237803874390482,0.06585513625388517,0.0
BBC,tfidf,kmeans,200,elbow,11,0.7113676192749689,0.5556985431417855,0.7093436961195628,0.050153681807194976,0.0
BBC,tfidf,agglomerative,200,silhouette,33,0.6139636613532893,0.4712050140042039,0.605330689036612,0.08688577507048657,0.0
20NG,tfidf,kmeans,5,silhouette,7,0.18137367249970363,0.07308345166116959,0.1706956830738043,0.25953139901936023,0.0
20NG,tfidf,kmeans,5,elbow,10,0.1864301169526197,0.07628968548709396,0.17163323778507364,0.22747850653658833,0.0
20NG,tfidf,agglomerative,5,silhouette,2,0.00338482136266893,-9.144466658337055e-05,-0.00013355599444506567,0.6454000022774464,0.0
20NG,tfidf,kmeans,10,silhouette,10,0.2540427218603048,0.11547561304726714,0.2403626262329886,0.1682591222452488,0.0
20NG,tfidf,kmeans,10,elbow,13,0.2425766032477422,0.11803240146818991,0.22490667859393412,0.16043474049124828,0.0
20NG,tfidf,agglomerative,10,silhouette,2,0.00338482136266893,-9.144466658337055e-05,-0.00013355599444506567,0.5076654237970174,0.0
20NG,tfidf,kmeans,20,silhouette,21,0.2806082668316709,0.12955847614882232,0.2538315173090908,0.11004179945247715,0.0
20NG,tfidf,kmeans,20,elbow,13,0.2587788760190885,0.11979537300917782,0.24143365287576188,0.10139061954536972,0.0
20NG,tfidf,agglomerative,20,silhouette,2,0.00338482136266893,-9.144466658337055e-05,-0.00013355599444506567,0.37703449293824537,0.0
20NG,tfidf,kmeans,50,silhouette,21,0.289638929285417,0.13377965074956166,0.2628673795681014,0.05483869203063048,0.0
20NG,tfidf,kmeans,50,elbow,15,0.27745022997189706,0.1315194011247214,0.25820727719815106,0.03975370228131983,0.0
20NG,tfidf,agglomerative,50,silhouette,2,0.00338482136266893,-9.144466658337055e-05,-0.00013355599444506567,0.23663490426428674,0.0
20NG,tfidf,kmeans,100,silhouette,31,0.35426300412900974,0.13078091028251795,0.31906065987123966,0.032293700936097805,0.0
20NG,tfidf,kmeans,100,elbow,21,0.35293589795657354,0.14632915236183702,0.32897706292547146,0.02915759987887485,0.0
20NG,tfidf,agglomerative,100,silhouette,2,0.00338482136266893,-9.144466658337055e-05,-0.00013355599444506567,0.15855349343943625,0.0
20NG,tfidf,kmeans,200,silhouette,2,0.08265523278144006,0.025699649822982163,0.08011564125456748,0.018530256157748507,0.0
20NG,tfidf,kmeans,200,elbow,19,0.28362360841887846,0.10930105119078455,0.2588455699034515,0.009982878270595637,0.0
20NG,tfidf,agglomerative,200,silhouette,2,0.00338482136266893,-9.144466658337055e-05,-0.00013355599444506567,0.10455113090933528,0.0
